distance,destination_dict,source_dict,name_dict,cab_type_dict,price
2.56,1,9,4,0,32.5
2.05,11,9,3,0,22.5
1.11,7,6,5,0,7.0
1.11,7,6,2,0,13.5
1.5,10,6,7,0,7.0
1.5,10,6,5,0,9.0
4.76,2,10,7,0,9.0
1.34,3,0,11,1,11.5
1.34,3,0,10,1,7.5
3.41,8,4,3,0,26.0
1.33,9,0,5,0,7.0
2.61,4,8,12,1,10.5
2.61,4,8,1,1,30.5
0.61,9,10,7,0,5.0
0.61,9,10,6,0,9.0
2.19,6,1,12,1,8.5
2.19,6,1,1,1,28.5
1.22,4,6,11,1,12.0
1.09,6,7,4,0,27.5
1.09,6,7,7,0,5.0
2.93,10,2,3,0,27.5
0.54,4,9,0,1,15.0
2.09,0,5,9,1,9.5
1.66,11,9,4,0,27.5
1.66,11,9,6,0,13.5
1.92,8,1,9,1,8.5
2.33,6,0,10,1,12.0
2.25,5,0,7,0,3.5
2.25,5,0,5,0,11.0
3.42,7,2,7,0,9.0
3.42,7,2,5,0,13.5
3.39,7,2,11,1,19.5
3.39,7,2,1,1,37.5
1.52,10,6,4,0,26.0
4.51,3,4,3,0,32.5
1.08,6,7,9,1,7.5
1.08,6,7,11,1,11.0
1.08,6,7,0,1,15.0
1.57,6,10,9,1,7.5
4.09,4,3,5,0,13.5
3.19,3,10,4,0,38.5
3.19,3,10,6,0,16.5
0.65,4,9,7,0,3.5
2.78,11,8,6,0,19.5
2.78,11,8,2,0,22.5
2.61,1,8,9,1,8.0
1.0,4,5,3,0,16.5
1.97,8,1,9,1,7.5
1.43,0,5,11,1,12.5
2.44,8,4,9,1,10.0
2.3,5,0,6,0,16.5
4.31,3,10,7,0,5.0
4.31,3,10,3,0,32.5
4.31,3,10,4,0,45.5
3.05,3,7,12,1,17.5
1.64,0,8,1,1,26.5
1.34,3,0,10,1,14.0
1.34,3,0,9,1,12.0
2.94,3,7,0,1,22.0
1.89,10,8,12,1,8.5
3.19,6,0,10,1,13.0
0.49,7,5,1,1,27.5
0.49,7,5,10,1,6.5
1.45,3,0,7,0,5.0
1.45,3,0,4,0,27.5
4.1,4,3,2,0,26.0
1.74,6,10,7,0,5.0
2.31,2,1,2,0,16.5
2.66,10,3,0,1,20.5
3.3,8,7,0,1,25.0
2.81,0,6,6,0,16.5
3.48,7,2,4,0,38.5
3.48,7,2,3,0,27.5
1.78,11,9,7,0,7.0
3.08,8,11,11,1,17.5
2.62,2,10,10,1,10.5
2.62,2,10,0,1,24.0
2.62,2,10,11,1,16.0
2.67,1,2,7,0,3.5
2.67,1,2,2,0,16.5
1.52,6,1,0,1,19.0
3.05,3,7,12,1,11.0
3.05,3,7,10,1,11.0
5.33,2,4,4,0,45.5
4.5,4,2,2,0,27.5
4.5,4,2,7,0,10.5
2.32,5,0,0,1,24.0
3.05,8,11,4,0,32.5
2.61,1,8,10,1,10.5
2.09,8,10,7,0,7.0
2.49,5,0,3,0,22.5
2.49,5,0,4,0,32.5
1.57,6,10,11,1,14.0
1.57,6,10,1,1,26.0
1.69,9,11,2,0,16.5
1.36,1,5,12,1,8.5
1.36,1,5,11,1,14.0
1.5,0,3,0,1,15.0
1.23,6,11,0,1,17.0
1.73,6,10,2,0,16.5
4.61,4,2,5,0,13.5
2.68,10,3,2,0,19.5
2.68,10,3,5,0,11.0
2.68,10,3,7,0,3.5
2.8,11,8,3,0,26.0
2.36,0,5,4,0,32.5
0.44,9,4,7,0,5.0
0.44,9,4,6,0,9.0
2.14,9,11,0,1,19.5
1.22,10,9,5,0,7.0
1.23,6,11,11,1,11.5
3.15,2,7,2,0,19.5
1.41,2,0,0,1,16.5
1.36,1,5,1,1,26.0
0.59,9,10,5,0,7.0
0.59,9,10,3,0,16.5
3.44,0,9,0,1,27.0
2.96,10,2,3,0,26.0
1.01,7,6,5,0,7.0
3.79,0,5,12,1,14.0
2.39,1,3,5,0,10.5
1.35,5,1,10,1,8.0
2.19,6,1,10,1,8.5
1.35,5,1,1,1,27.5
2.5,1,9,11,1,15.0
2.5,1,9,12,1,10.5
4.55,4,8,10,1,13.0
4.55,4,8,9,1,11.0
2.12,9,7,4,0,30.0
3.05,11,2,12,1,13.0
2.0,9,0,12,1,11.5
0.46,9,4,7,0,3.0
5.32,2,4,4,0,47.5
1.57,1,6,12,1,10.5
4.39,4,3,3,0,34.0
0.42,9,4,7,0,5.0
0.42,9,4,2,0,10.5
0.42,9,4,5,0,7.0
2.66,10,3,0,1,20.5
2.32,5,0,0,1,22.5
2.38,10,3,1,1,30.5
2.38,10,3,0,1,21.5
1.47,0,8,1,1,27.5
1.47,0,8,10,1,8.5
1.47,0,8,0,1,15.0
2.05,8,1,6,0,13.5
2.05,8,1,5,0,10.5
2.05,8,1,7,0,5.0
2.05,8,1,2,0,16.5
2.86,11,8,10,1,9.5
2.86,11,8,12,1,9.5
0.52,7,5,3,0,16.5
0.52,7,5,6,0,9.0
3.3,8,7,9,1,11.0
3.3,8,7,11,1,20.5
1.5,0,3,10,1,7.0
1.5,9,1,5,0,7.0
0.92,7,6,10,1,8.5
0.92,7,6,11,1,14.0
1.64,0,8,9,1,11.0
1.64,0,8,12,1,13.0
1.64,0,8,1,1,26.0
1.64,0,8,0,1,14.0
1.08,6,7,1,1,27.5
2.85,11,8,6,0,16.5
1.49,10,6,3,0,22.5
0.3,7,6,10,1,7.0
0.3,7,6,0,1,15.0
1.46,2,0,3,0,16.5
3.06,8,11,6,0,16.5
5.56,2,4,9,1,12.5
5.56,2,4,12,1,15.0
5.56,2,4,10,1,15.0
5.56,2,4,0,1,33.5
2.37,3,1,5,0,9.0
2.37,3,1,2,0,16.5
1.37,9,0,6,0,13.5
2.88,2,11,2,0,19.5
2.58,1,9,10,1,10.5
1.25,5,4,9,1,7.5
3.25,7,8,4,0,34.0
3.16,3,10,3,0,38.5
3.04,6,0,4,0,38.0
2.48,9,1,12,1,9.5
1.41,9,0,3,0,19.5
1.41,9,0,7,0,3.0
1.41,9,0,6,0,13.5
1.41,9,0,2,0,13.5
3.03,11,2,7,0,7.0
1.47,0,3,7,0,3.0
2.38,7,9,10,1,8.5
2.38,7,9,0,1,18.5
1.7,11,9,6,0,13.5
1.7,11,9,5,0,7.0
1.39,3,0,4,0,26.0
2.29,7,9,10,1,9.0
1.22,8,0,11,1,11.5
2.8,2,11,1,1,34.0
1.5,2,0,4,0,26.0
1.5,2,0,7,0,3.5
1.78,5,10,3,0,22.5
1.78,5,10,4,0,32.5
2.34,9,1,5,0,10.5
1.58,7,9,11,1,13.5
3.05,8,11,2,0,19.5
3.05,8,11,6,0,16.5
0.74,5,7,4,0,26.0
2.24,5,0,4,0,32.5
7.34,6,0,0,1,36.5
3.18,3,10,4,0,32.5
3.18,3,10,2,0,19.5
2.35,2,1,4,0,47.5
2.43,8,10,3,0,22.5
4.3,4,8,6,0,22.5
1.56,0,2,11,1,13.5
1.19,6,7,1,1,27.0
3.26,8,7,7,0,9.0
3.26,8,7,6,0,19.5
1.64,0,8,11,1,12.5
1.64,0,8,12,1,8.5
1.89,0,9,10,1,11.5
1.55,10,6,7,0,5.0
4.54,3,4,7,0,5.0
1.23,5,1,10,1,9.0
1.35,9,0,2,0,13.5
2.36,5,1,12,1,9.5
2.36,5,1,11,1,16.5
2.36,5,1,1,1,29.5
2.84,3,11,1,1,33.0
2.84,3,11,0,1,24.5
0.56,7,5,3,0,16.5
0.56,7,5,2,0,11.0
0.56,7,5,6,0,9.0
2.79,1,2,12,1,9.5
3.37,8,7,9,1,11.0
2.48,1,9,5,0,9.0
0.39,9,4,12,1,7.0
0.39,9,4,11,1,9.5
2.62,2,10,11,1,16.0
2.39,10,3,0,1,25.0
2.42,8,1,3,0,22.5
2.42,8,1,2,0,16.5
1.21,6,4,10,1,7.0
3.52,7,2,4,0,38.5
2.58,1,9,12,1,11.0
2.98,10,2,11,1,18.5
3.3,8,7,9,1,11.0
3.1,8,11,6,0,16.5
3.1,8,11,5,0,10.5
3.1,8,11,3,0,27.5
1.64,0,8,9,1,8.0
1.64,0,8,11,1,13.0
2.33,2,1,5,0,9.0
2.19,6,1,1,1,30.5
2.33,6,0,0,1,24.0
2.8,2,11,12,1,12.0
2.8,2,11,11,1,19.0
2.8,2,11,9,1,11.0
2.44,6,0,5,0,11.0
2.44,6,0,6,0,16.5
1.11,8,0,2,0,19.5
4.44,2,4,12,1,19.5
4.44,2,4,1,1,36.5
0.39,9,4,0,1,15.0
1.06,6,7,7,0,5.0
1.06,6,7,6,0,10.5
1.1,8,0,0,1,14.5
3.05,3,7,1,1,34.0
3.05,3,7,11,1,16.5
3.05,3,7,9,1,9.5
2.72,11,3,10,1,9.5
2.72,11,3,1,1,31.5
0.88,5,11,12,1,8.5
0.88,5,11,1,1,27.0
0.49,7,5,0,1,16.0
0.76,5,11,4,0,27.5
1.8,8,10,12,1,11.5
2.17,9,7,9,1,10.0
2.81,10,8,1,1,30.5
1.91,10,8,10,1,8.5
1.91,10,8,9,1,8.5
1.91,10,8,0,1,18.5
4.69,2,10,6,0,22.5
1.28,10,5,3,0,16.5
3.19,3,10,6,0,16.5
0.55,9,10,6,0,10.5
3.14,3,10,7,0,9.0
3.23,7,8,0,1,26.0
3.23,7,8,1,1,39.0
2.66,10,3,0,1,18.5
0.49,7,5,9,1,6.5
0.49,7,5,11,1,9.5
1.25,5,4,10,1,8.0
2.9,8,10,7,0,7.0
2.9,8,10,6,0,16.5
2.73,10,3,3,0,22.5
2.73,10,3,4,0,32.5
3.3,8,4,10,1,11.5
3.3,8,4,1,1,32.0
2.58,1,9,6,0,13.5
2.75,10,3,4,0,32.5
2.75,10,3,2,0,19.5
2.75,10,3,6,0,16.5
0.56,4,9,3,0,16.5
4.61,4,2,6,0,22.5
4.61,4,2,7,0,10.5
2.98,10,2,0,1,24.0
2.37,2,1,6,0,26.0
2.37,2,1,7,0,11.0
1.36,5,1,5,0,7.0
1.36,5,1,4,0,26.0
3.21,3,7,5,0,11.0
2.62,2,10,12,1,10.5
2.62,2,10,10,1,10.5
2.27,2,1,0,1,20.5
2.27,2,1,9,1,8.5
1.25,5,4,12,1,8.0
2.09,11,9,3,0,22.5
2.09,11,9,4,0,27.5
1.41,1,5,3,0,16.5
1.41,1,5,4,0,26.0
3.08,8,11,9,1,9.0
3.1,8,11,5,0,13.5
2.5,10,3,6,0,16.5
2.5,10,3,5,0,10.5
1.0,5,4,5,0,7.0
1.0,5,4,3,0,16.5
3.05,3,7,10,1,11.5
1.11,11,6,0,1,16.0
1.52,9,11,7,0,5.0
1.52,9,11,3,0,16.5
1.52,9,11,4,0,27.5
1.06,8,0,7,0,7.0
2.15,8,10,3,0,22.5
2.73,11,8,0,1,19.5
1.25,11,6,5,0,7.0
2.84,3,11,12,1,10.5
2.84,3,11,10,1,10.5
2.84,3,11,0,1,24.0
1.07,6,11,3,0,16.5
2.15,8,10,2,0,16.5
2.15,8,10,3,0,22.5
0.76,5,7,2,0,11.0
1.08,8,0,9,1,8.5
1.08,8,0,0,1,16.0
2.15,0,5,9,1,11.0
2.15,0,5,1,1,32.5
1.5,0,3,10,1,7.0
1.41,10,6,0,1,22.0
0.8,4,5,1,1,27.5
2.99,10,2,3,0,27.5
2.17,8,10,4,0,27.5
0.57,4,9,5,0,7.0
2.34,2,1,5,0,9.0
1.73,6,10,7,0,5.0
2.04,10,8,5,0,10.5
2.04,10,8,7,0,7.0
2.62,2,10,11,1,17.0
1.02,4,5,4,0,26.0
1.23,5,4,4,0,26.0
1.23,5,4,7,0,5.0
0.68,11,5,0,1,15.0
3.59,4,8,2,0,26.0
3.59,4,8,5,0,13.5
3.45,7,2,2,0,22.5
1.69,6,10,2,0,27.5
1.69,6,10,6,0,22.5
2.66,3,10,1,1,32.0
1.73,1,6,2,0,16.5
1.73,1,6,6,0,13.5
2.82,11,3,4,0,32.5
2.53,8,1,2,0,16.5
1.22,1,5,2,0,13.5
1.22,1,5,5,0,7.0
1.22,1,5,6,0,10.5
1.01,4,5,5,0,7.0
2.84,3,11,10,1,10.5
2.84,3,11,1,1,32.5
2.86,11,8,9,1,8.5
4.55,4,8,11,1,21.0
3.05,3,7,0,1,23.0
3.05,3,7,10,1,10.5
3.05,3,7,9,1,11.0
2.01,0,5,2,0,16.5
2.85,11,3,5,0,10.5
2.86,11,8,0,1,23.5
2.86,11,8,10,1,9.5
0.61,11,5,11,1,10.5
2.38,3,1,4,0,30.0
2.38,3,1,3,0,22.5
2.84,3,11,1,1,27.5
2.84,3,11,12,1,9.0
2.84,3,11,9,1,8.5
2.21,10,3,10,1,9.0
1.15,4,6,4,0,27.5
1.15,4,6,2,0,13.5
3.18,8,4,3,0,30.0
3.18,8,4,7,0,9.0
2.01,1,6,9,1,10.0
2.01,1,6,0,1,20.5
5.4,2,4,7,0,9.0
1.12,7,6,5,0,7.0
1.12,7,6,3,0,16.5
1.24,6,4,6,0,11.0
1.04,4,6,9,1,7.5
3.02,8,11,4,0,38.5
3.02,8,11,3,0,27.5
2.56,8,1,9,1,9.0
2.56,8,1,10,1,11.5
5.41,2,4,4,0,42.5
5.41,2,4,2,0,26.0
1.21,10,5,4,0,27.5
1.21,10,5,7,0,5.0
1.23,11,6,7,0,5.0
1.64,0,8,1,1,26.0
1.5,0,3,10,1,7.5
1.5,0,3,12,1,7.5
3.39,7,2,12,1,9.5
3.22,7,3,2,0,19.5
3.22,7,3,4,0,32.5
1.33,1,5,3,0,16.5
1.4,2,0,11,1,12.5
3.55,1,3,11,1,18.0
2.34,7,9,3,0,22.5
2.34,7,9,5,0,10.5
2.96,0,6,6,0,16.5
2.96,0,6,2,0,19.5
3.75,4,2,2,0,32.5
0.54,4,9,0,1,15.0
0.54,4,9,1,1,27.5
4.44,2,4,12,1,11.5
2.7,10,3,6,0,19.5
3.31,8,7,4,0,38.5
2.72,1,2,7,0,7.0
0.56,5,7,0,1,16.0
2.87,11,8,11,1,18.5
0.91,1,5,0,1,16.0
0.91,1,5,1,1,26.0
0.56,5,7,1,1,26.0
0.57,4,9,2,0,11.0
2.8,2,11,10,1,10.5
2.8,2,11,12,1,10.5
3.42,8,4,2,0,19.5
3.42,8,4,7,0,9.0
1.53,0,2,2,0,13.5
1.53,0,2,4,0,26.0
1.53,0,2,7,0,5.0
1.39,5,1,6,0,11.0
0.48,9,4,6,0,10.5
1.34,3,0,11,1,11.5
2.51,8,1,5,0,11.0
2.51,8,1,7,0,7.0
1.78,0,5,12,1,9.5
1.78,0,5,1,1,29.5
1.02,5,4,7,0,3.5
1.02,5,4,6,0,9.0
1.64,0,8,1,1,26.5
1.64,0,8,12,1,8.0
1.17,6,4,7,0,5.0
3.23,7,3,6,0,19.5
3.23,7,3,7,0,7.0
2.35,2,1,2,0,16.5
0.91,1,5,12,1,8.0
0.91,1,5,11,1,11.5
0.91,1,5,10,1,8.0
3.05,3,7,9,1,10.0
3.05,3,7,1,1,34.0
2.43,1,3,7,0,7.0
3.08,8,11,12,1,12.0
4.5,3,4,7,0,10.5
4.5,3,4,4,0,45.5
2.14,9,11,1,1,26.0
2.14,9,11,12,1,7.5
2.14,9,11,11,1,14.0
2.73,1,2,6,0,13.5
2.48,9,1,10,1,8.5
2.48,9,1,9,1,8.5
1.08,6,7,0,1,16.0
0.65,9,10,6,0,9.0
1.04,6,7,2,0,13.5
2.7,1,2,4,0,32.5
2.33,6,0,12,1,11.5
3.23,1,2,0,1,23.0
2.97,6,0,4,0,38.0
5.35,2,4,2,0,26.0
1.45,2,0,9,1,7.0
1.45,2,0,12,1,8.0
1.91,10,8,10,1,8.5
1.55,0,3,3,0,16.5
1.55,0,3,7,0,5.0
3.06,3,7,11,1,17.0
3.06,3,7,0,1,26.5
0.61,11,5,12,1,12.5
1.38,5,1,4,0,27.5
1.52,0,2,7,0,5.0
3.01,2,7,11,1,16.0
2.96,10,2,6,0,16.5
2.96,10,2,3,0,27.5
4.72,4,2,10,1,14.0
2.82,11,3,2,0,19.5
1.08,6,7,1,1,27.5
1.08,6,7,0,1,15.0
1.23,6,4,12,1,7.0
1.17,4,2,11,1,10.5
1.17,4,2,9,1,4.5
2.58,1,9,11,1,14.0
2.58,1,9,10,1,9.5
2.91,0,6,5,0,10.5
1.56,0,2,11,1,12.5
1.56,0,2,9,1,6.5
1.56,0,2,10,1,8.0
3.32,8,7,2,0,22.5
3.32,8,7,5,0,11.0
3.05,3,7,1,1,35.0
1.34,3,0,9,1,8.5
1.19,11,6,7,0,7.0
1.61,5,10,10,1,8.5
5.31,2,4,7,0,7.0
2.4,3,1,7,0,7.0
2.4,3,1,4,0,30.0
2.4,3,1,3,0,22.5
1.39,3,0,7,0,5.0
0.49,7,5,1,1,27.5
0.49,7,5,11,1,9.5
0.49,7,5,0,1,15.0
0.55,9,10,12,1,7.0
0.55,9,10,9,1,6.5
0.55,9,10,10,1,7.0
1.35,9,0,3,0,16.5
1.35,9,0,6,0,13.5
0.71,9,10,4,0,26.0
3.22,7,8,0,1,26.0
3.14,2,7,2,0,19.5
2.32,7,9,4,0,27.5
2.39,0,9,6,0,16.5
1.73,6,10,7,0,7.0
0.55,9,10,9,1,7.5
7.46,8,4,1,1,45.0
1.72,11,9,6,0,13.5
1.56,0,2,12,1,7.5
1.56,0,2,9,1,7.0
1.56,0,2,1,1,26.0
0.62,11,5,1,1,26.0
3.11,6,0,2,0,22.5
2.66,10,3,9,1,11.0
2.66,10,3,10,1,11.5
1.93,7,9,6,0,16.5
4.51,3,4,6,0,22.5
1.3,10,9,9,1,7.5
2.15,9,7,3,0,19.5
2.15,9,7,7,0,5.0
2.15,9,7,6,0,13.5
2.66,3,10,11,1,15.0
2.9,2,11,5,0,10.5
1.61,5,10,9,1,8.5
3.25,8,7,3,0,27.5
3.25,8,7,5,0,10.5
3.25,8,7,7,0,3.0
2.17,9,7,1,1,28.5
2.17,9,7,11,1,17.5
1.99,10,8,6,0,13.5
3.07,7,3,12,1,10.5
1.94,1,6,6,0,13.5
0.88,5,11,0,1,16.0
2.72,1,2,2,0,16.5
2.72,1,2,3,0,22.5
1.16,10,5,0,1,15.0
1.16,10,5,1,1,27.5
1.72,0,3,7,0,9.0
1.03,6,4,6,0,10.5
2.66,3,10,12,1,10.5
1.43,0,3,4,0,26.0
1.35,5,1,9,1,7.5
0.98,6,11,1,1,27.5
0.98,6,11,11,1,10.5
1.5,0,3,1,1,26.5
4.48,3,4,10,1,14.0
4.48,3,4,0,1,33.5
4.48,3,4,9,1,13.0
4.48,3,4,11,1,21.5
1.22,11,6,5,0,9.0
0.57,4,9,7,0,3.5
0.57,4,9,5,0,7.0
0.55,9,10,9,1,5.5
2.84,11,8,3,0,22.5
1.41,10,6,1,1,29.5
1.41,10,6,0,1,22.0
1.35,9,0,7,0,5.0
2.9,0,6,4,0,38.5
2.9,0,6,2,0,22.5
3.29,8,4,0,1,30.5
0.72,5,11,0,1,15.0
2.29,2,1,3,0,22.5
1.11,8,0,6,0,9.0
1.5,0,3,1,1,26.5
1.5,0,3,10,1,7.0
1.76,9,7,3,0,19.5
2.66,3,10,11,1,16.0
2.66,3,10,0,1,24.0
1.57,6,10,9,1,14.5
2.27,2,1,11,1,16.0
0.57,7,5,7,0,3.0
0.57,7,5,3,0,16.5
0.57,7,5,4,0,27.5
1.05,6,7,3,0,16.5
1.05,6,7,7,0,5.0
1.8,8,10,1,1,28.0
1.8,8,10,11,1,14.0
2.34,5,0,4,0,30.0
3.19,4,3,0,1,26.5
1.01,7,6,7,0,3.0
1.01,7,6,4,0,27.5
1.72,6,10,3,0,26.0
1.45,0,8,3,0,16.5
1.5,0,3,12,1,7.0
0.61,11,5,12,1,7.5
1.21,6,4,0,1,15.0
3.46,7,2,3,0,26.0
1.22,8,0,9,1,6.5
2.59,1,8,0,1,18.5
3.06,8,11,6,0,16.5
2.39,0,5,7,0,3.0
2.39,0,5,4,0,32.5
2.27,2,1,4,0,27.5
1.35,5,1,11,1,13.0
3.42,8,7,10,1,10.5
2.99,10,2,4,0,32.5
1.72,11,9,4,0,26.0
1.72,5,10,4,0,27.5
1.72,5,10,7,0,5.0
1.72,5,10,2,0,16.5
1.72,5,10,6,0,13.5
3.01,2,7,10,1,12.5
3.01,2,7,1,1,37.5
3.01,2,7,12,1,12.5
2.13,8,10,5,0,10.5
1.42,6,1,3,0,16.5
1.42,6,1,7,0,3.5
1.42,6,1,6,0,11.0
1.64,0,8,1,1,26.5
2.42,1,3,4,0,38.5
2.42,1,3,7,0,9.0
1.07,8,0,3,0,16.5
1.08,6,7,10,1,7.0
1.08,6,7,0,1,16.0
3.05,3,7,0,1,25.0
3.05,3,7,1,1,35.0
3.05,3,7,12,1,10.5
3.05,3,7,12,1,14.0
1.28,0,8,3,0,16.5
1.28,0,8,2,0,13.5
2.17,9,7,12,1,8.5
4.76,4,2,9,1,10.0
4.76,4,2,10,1,14.0
6.26,9,0,11,1,22.5
3.11,2,10,5,0,10.5
3.11,2,10,3,0,27.5
2.08,9,7,4,0,30.0
0.56,5,7,0,1,16.0
0.99,4,5,1,1,27.0
1.64,0,8,1,1,26.5
0.39,9,4,11,1,9.5
1.16,10,5,1,1,27.5
3.05,3,7,0,1,26.0
3.2,3,10,3,0,26.0
0.84,5,7,2,0,13.5
0.84,5,7,3,0,16.5
0.84,5,7,4,0,27.5
0.84,5,7,6,0,10.5
0.62,4,9,2,0,10.5
0.62,4,9,7,0,3.0
0.62,4,9,6,0,9.0
3.26,7,8,2,0,19.5
0.56,5,7,12,1,7.0
2.46,1,3,5,0,9.0
1.46,9,0,2,0,19.5
1.46,9,0,5,0,9.0
1.46,9,0,7,0,7.0
0.71,11,5,2,0,10.5
1.99,0,5,5,0,10.5
1.02,7,6,4,0,26.0
1.02,7,6,5,0,7.0
3.01,8,11,2,0,22.5
1.08,6,7,12,1,7.0
2.11,9,11,6,0,13.5
2.11,9,11,2,0,16.5
2.86,11,8,10,1,10.5
2.2,5,0,0,1,22.0
3.5,7,2,4,0,55.0
3.19,3,7,6,0,19.5
2.01,10,8,7,0,7.0
4.13,4,8,2,0,22.5
4.13,4,8,7,0,9.0
4.13,4,8,4,0,38.5
3.05,3,7,0,1,23.0
0.39,9,4,9,1,5.5
1.16,10,5,0,1,16.5
1.16,10,5,10,1,7.5
0.48,9,4,5,0,9.0
0.48,9,4,3,0,16.5
0.48,9,4,6,0,9.0
1.9,1,6,12,1,9.5
3.31,8,4,3,0,32.5
1.05,6,11,5,0,11.0
1.05,6,11,3,0,26.0
1.74,9,7,3,0,22.5
1.74,9,7,2,0,16.5
1.11,11,6,11,1,12.5
2.16,8,10,2,0,16.5
1.35,5,1,9,1,10.0
3.96,4,2,11,1,21.5
3.96,4,2,12,1,14.0
1.03,7,6,11,1,10.5
1.06,6,7,3,0,16.5
1.06,6,7,7,0,3.5
2.43,8,1,4,0,32.5
3.11,2,7,5,0,10.5
0.62,11,5,9,1,5.5
0.62,11,5,10,1,7.5
3.21,7,8,6,0,26.0
2.86,11,8,10,1,8.5
1.34,3,0,11,1,11.0
1.25,5,4,12,1,8.5
1.25,5,4,9,1,6.0
2.32,3,1,1,1,30.5
2.32,3,1,0,1,22.0
1.22,10,9,3,0,16.5
1.22,10,9,5,0,7.0
1.53,0,2,6,0,11.0
1.04,4,6,0,1,15.0
1.04,4,6,10,1,8.0
0.65,4,9,2,0,10.5
1.21,6,4,9,1,9.0
1.21,6,4,1,1,26.0
1.21,6,4,12,1,7.5
1.21,6,4,0,1,16.0
0.65,11,5,4,0,27.5
1.13,10,9,7,0,3.0
2.66,3,10,10,1,9.5
3.3,8,4,1,1,31.0
2.98,10,2,12,1,11.5
1.23,6,11,11,1,12.5
2.48,9,1,0,1,20.5
2.48,9,1,11,1,15.0
2.3,0,5,11,1,16.0
2.98,10,2,9,1,8.0
2.98,10,2,11,1,16.0
2.98,10,2,12,1,9.5
1.34,4,6,10,1,9.0
1.34,4,6,9,1,7.5
0.55,9,10,1,1,27.0
2.79,1,2,11,1,16.5
2.06,9,11,4,0,27.5
2.16,8,10,2,0,16.5
1.75,6,10,7,0,5.0
1.07,8,0,7,0,5.0
1.07,8,0,4,0,27.5
2.72,11,3,11,1,16.0
2.72,11,3,9,1,10.0
2.32,3,1,9,1,8.0
2.32,3,1,0,1,19.5
1.32,9,0,4,0,27.5
1.98,11,9,7,0,7.0
1.78,7,9,2,0,16.5
1.97,8,1,10,1,8.5
3.07,7,3,12,1,9.5
0.49,7,5,9,1,7.5
0.49,7,5,1,1,26.0
4.5,3,4,5,0,16.5
0.55,9,10,0,1,16.0
0.64,4,9,4,0,26.0
0.68,9,10,5,0,7.0
0.68,9,10,3,0,16.5
3.19,7,3,6,0,22.5
1.04,5,4,4,0,27.5
1.04,5,4,3,0,16.5
3.25,7,3,4,0,38.5
2.38,7,9,1,1,29.5
2.38,7,9,0,1,22.0
2.38,7,9,11,1,16.0
